"site_location_name","longitude","latitude"
"WAAPIL0003",117.057005555556,-21.5411027777778
"NSABHC0023",142.136552777778,-31.34395
"TCATCH0006",146.652027274331,-41.9658046875666
"WAAGAS0002",120.479138888889,-23.3847
"NSAMDD0014",141.191816666667,-33.1679388888889
"NTAGFU0021",135.942922222222,-16.7154027777778
"NSANSS0001",148.347694444444,-32.7498555555556
"SATSTP0005",138.848797222222,-29.4565972222222
"QDASSD0015",138.193094444444,-23.188075
"NTAFIN0002",133.434311111111,-24.0094222222222
"NSANAN0002",150.152063888889,-30.2822805555556
"QDAEIU0010",146.182391024598,-19.8933742729914
