"Name","X","Y"
"NSAMDD0014",141.1918167,-33.16793889
"NSAMDD0014",141.1928889,-33.16794444
"NSAMDD0014",141.1928889,-33.16703889
"NSAMDD0014",141.1918167,-33.16703889
"NSANAN0002",150.1520639,-30.28228056
"NSANAN0002",150.1530944,-30.28228889
"NSANAN0002",150.1530889,-30.28140833
"NSANAN0002",150.1520611,-30.28138333
"NSANSS0001",148.3476944,-32.74985556
"NSANSS0001",148.34875,-32.74981389
"NSANSS0001",148.3487417,-32.74892778
"NSANSS0001",148.3476639,-32.74892222
"NTAFIN0002",133.4343111,-24.00942222
"NTAFIN0002",133.4352806,-24.00941667
"NTAFIN0002",133.4352806,-24.00851389
"NTAFIN0002",133.4343,-24.00851111
"NTAGFU0021",135.9429222,-16.71540278
"NTAGFU0021",135.9438639,-16.7154
"NTAGFU0021",135.9438611,-16.71449722
"NTAGFU0021",135.942925,-16.71449444
"QDAEIU0010",146.182391,-19.89337427
"QDAEIU0010",146.183351,-19.89337294
"QDAEIU0010",146.1833505,-19.89247802
"QDAEIU0010",146.182385,-19.89247465
"QDASSD0015",138.1930944,-23.188075
"QDASSD0015",138.1940722,-23.18808333
"QDASSD0015",138.1940694,-23.18718056
"QDASSD0015",138.1930917,-23.18717778
"SATSTP0005",138.8487972,-29.45659722
"SATSTP0005",138.8498278,-29.45661389
"SATSTP0005",138.8498472,-29.45571389
"SATSTP0005",138.8488167,-29.45569722
"TCATCH0006",146.6520273,-41.96580469
"TCATCH0006",146.6532521,-41.96579488
"TCATCH0006",146.6532435,-41.96490452
"TCATCH0006",146.6520316,-41.96489643
"WAAGAS0002",120.4791389,-23.3847
"WAAGAS0002",120.4801194,-23.38469722
"WAAGAS0002",120.4801194,-23.3838
"WAAGAS0002",120.4791417,-23.3838
"WAAPIL0003",117.0570056,-21.54110278
"WAAPIL0003",117.0579694,-21.54110278
"WAAPIL0003",117.0579722,-21.54019722
"WAAPIL0003",117.0570056,-21.5402
