,importances_mean,importances_std
tmin_7,-0.08602214756879632,0.04222549151883198
tmax_14,-0.0810420862601913,0.04337599830856314
tmax_lag,-0.021681802196181366,0.02557463296200564
tmax_30,-0.007520050789537436,0.02418828508502561
tmax_7,0.0004739663166793662,0.02069663878927778
tmin_14,0.005624931305136016,0.029684233747693297
tmin_lag,0.062277051480735965,0.021004038320004158
VPD_lag,0.2627426998180147,0.057249107561204056
VPD_14,0.3594769188423068,0.07581005679780126
VPD_30,0.41959235350633295,0.07938375570618503
precip_30,0.5219210464711936,0.07686523344575523
DER_000_999,0.5311378029067584,0.09172163120275417
tmin_30,0.6989198572422154,0.1345331912685865
photoperiod_gradient,0.7725860111566214,0.11935550893286896
VPD_7,0.8055172570793413,0.13271445995698408
precip_1460,1.283755672078726,0.1457135958197773
precip_180,1.2931809529924367,0.13978182518105772
SLGA_2,1.3215428337449624,0.10303109534070153
fire_severity,2.0643223628289746,0.06545812881672211
MAT,2.7358131238468,0.15665886393545972
precip_365,3.5925752749379534,0.2815443237742801
photoperiod,3.7596567654968736,0.2979869804216059
precip_730,4.047347252044627,0.32215933365548166
CO2,5.189080186510662,0.7626603629663139
grass,5.5031269907884015,0.42423999061205697
precip_90,5.630189780595528,0.43721819389986205
precip_1095,6.188140287011138,0.41922675883784066
SLGA_3,26.739958011800837,1.8198849025697617
days_since_fire,37.434939706526315,1.556558674978863
MAP,41.93890652706717,1.2671346657088065
shrub,91.06410566449729,2.4087700838292547
tree,155.15785080817946,3.5467361390336434
SLGA_1,164.65004655975153,3.9644926865722616
